threshold,precision,recall,f1,cost
0.815,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.82,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.825,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.83,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.835,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.84,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.845,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.8499999999999999,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.8549999999999999,0.9523809523809523,0.7142857142857143,0.8163265306122449,41.0
0.8599999999999999,0.95,0.6785714285714286,0.7916666666666666,46.0
0.8649999999999999,0.9473684210526315,0.6428571428571429,0.7659574468085106,51.0
0.8699999999999999,0.9473684210526315,0.6428571428571429,0.7659574468085106,51.0
0.8749999999999999,0.9473684210526315,0.6428571428571429,0.7659574468085106,51.0
0.8799999999999999,0.9473684210526315,0.6428571428571429,0.7659574468085106,51.0
0.8849999999999999,0.9473684210526315,0.6428571428571429,0.7659574468085106,51.0
0.8899999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.8949999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.8999999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.9049999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.9099999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.9149999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.9199999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.9249999999999999,0.9444444444444444,0.6071428571428571,0.7391304347826086,56.0
0.9299999999999999,0.9411764705882353,0.5714285714285714,0.7111111111111111,61.0
0.9349999999999999,0.9411764705882353,0.5714285714285714,0.7111111111111111,61.0
0.94,0.9375,0.5357142857142857,0.6818181818181818,66.0
0.945,0.9285714285714286,0.4642857142857143,0.6190476190476191,76.0
0.95,0.9285714285714286,0.4642857142857143,0.6190476190476191,76.0
